#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
orthodox_DESC;[GetOrthodoxDesc];L'Église orthodoxe est une autre des principales branches du christianisme chalcédonien. Jusqu'en 1054, elle était officiellement unifiée à l'Église catholique malgré des divisions politiques dont les traces remontent au couronnement de Charlemagne comme empereur romain par le pape Léon III en 800, chose qui n'a point plu à l'empereur de Constantinople. Le chef officiel de l'Église orthodoxe est le patriarche oecuménique de Constantinople, mais il n'intervient pas vraiment dans les affaires des autres patriarches.;Die Orthodoxe Kirche ist ein weiterer Hauptzweig des Chalzedonischen Christentums und war bis 1054 formal mit der Katholischen Kirche vereint, obwohl die politische Abspaltung zurückverfolgt werden kann bis zur Krönung von Karl dem Großen zum Römischen Kaiser durch Papst Leo III. im Jahr 800, die dem Kaiser in Konstantinopel nicht allzu sehr zusagte. Das formelle Oberhaupt der Orthodoxen Kirche ist der Ökumenische Patriarch von Konstantinopel, aber er mischt sich nicht in die Angelegenheiten anderer Patriarchen ein.;;La Iglesia Ortodoxa es la otra rama principal del Cristianismo de Calcedonia, que hasta 1054 estaba unido formalmente a la Iglesia Católica, aunque la división política se remonta a la coronación de Carlomagno como Emperador Romano por el Papa León III en el año 800, que no se llevaba bien con el emperador de Constantinopla. El jefe oficial de la Iglesia Ortodoxa es el Patriarca Ecuménico de Constantinopla, pero no se inmiscuye en los asuntos de los demás Patriarcas.;;;;;;;;;x
orthodox;[GetOrthodoxName];orthodoxe;Orthodox;;Ortodoxo;;;;;;;;;x
mend_the_schism_holder_religion;Holder is §Y[GetOrthodoxName]§!, §YPaulician§!, §YMonothelite§! or §YIconoclast§! and NOT a heretic\n;Le détenteur est de religion §Yorthodoxe§!, §Ypaulicienne§!, §Ymonothélite§! ou §Yiconoclaste§! et pas hérétique\n;Halter ist §YOrthodoxer§!, §YPaulikianer§!, §YMonothelit§! oder §YBilderstürmer§! und KEIN Ketzer\n;;Quien lo ostenta es §Yortodoxo§!, §Ypauliciano§!, §Ymonotelita§! o §Yiconoclasta§! y no es hereje.\n;;;;;;;;;x
mend_great_schism_desc;The Great Schism saw the Chalcedonian Church divided into Orthodoxy and Catholicism, but if all five of the episcopal sees of the Pentarchy could be restored under Roman rule and the Orthodox faith, there may be a chance to finally reunite Christendom.;L'Église chrétienne s'est vu divisée en deux lignées par le Grand Schisme, mais si la totalité des cinq sièges épiscopaux de la Pentarchie peut être restaurée sous l'autorité de Rome et de la foi orthodoxe, il y a peut-être une chance de réunifier enfin la chrétienté tout entière;Das große Schisma sah die christliche Kirche in zwei Teile zerfallen, doch wenn alle fünf episkopalen Arme der Pentarchie wieder unter römischer Herrschaft und in orthodoxem Glauben vereint sind, besteht eine Chance, das Christentum wieder zu vereinen.;;El Gran Cisma dividió la Iglesia Cristiana en dos ramas, pero si las cinco sedes episcopales de la Pentarquía pueden ser recuperadas bajo el dominio romano y la fe ortodoxa, podría haber una oportunidad de reunir finalmente la cristiandad.;;;;;;;;;x
key_random_byz_crown_desc;The sacred Imperial crown of representing absolute authority over the [e_roman_empire.GetFullName].;La couronne impériale sacrée de l'autorité absolue sur [e_roman_empire.GetFullName].;Die heilige Kaiserkrone der absoluten Autorität über [e_roman_empire.GetFullName].;;La sagrada corona imperial que representa la autoridad absoluta sobre el [e_roman_empire.GetFullName].;;;;;;;;;x
EVTDESC_HF_49004;In a passionate speech [From.GetTitledName] explains how all of us must gather our men to support [fourth_crusade_byzantine_refugee.GetTitledName] for the throne of Byzantine Empire. The Emperors of Byzantine Empire have for a long time looked down upon the rest of us, pretending to be the descendants of the Romans. Now it is time to show them that we can overthrow the false Emperor in their midst as well.\n\nWith the gifts sent by [From.GetTitledName], [From.GetSheHe] has managed to convince the rest of the [From.Religion.GetName] realm to target Constantinople as part of the next Crusade.;Dans un discours passionné, [From.Get_le_TitledName] explique à quel point nous nous devons de rassembler nos hommes pour soutenir [fourth_crusade_byzantine_refugee.Get_le_TitledName] pour le trône de [e_roman_empire.GetName]. Les empereurs de [e_roman_empire.GetName] ont longtemps méprisé le reste d'entre nous, prétendant être les descendants des Romains. Maintenant il est temps de leur montrer que nous pouvons aussi renverser leur faux empereur.\n\nLes cadeaux envoyés par [From.Get_le_TitledName] ont réussi à convaincre le reste du pays [From.GetReligionMasc] de cibler Constantinople dans le cadre de la prochaine croisade.;In einer leidenschaftlichen Rede erklärte [From.GetTitledName], wie wir alle unsere Männer versammeln müssen, um [fourth_crusade_byzantine_refugee.GetTitledName] dabei zu unterstützen, den Thron von [e_roman_empire.GetName] für sich zu beanspruchen. Die Kaiser von [e_roman_empire.GetName] haben lange Zeit auf uns herab gesehen und vorgetäuscht, Nachfahren der Römer zu sein. Jetzt ist die Zeit gekommen um ihnen zu zeigen, dass wir auch den falschen Kaiser in ihrer Mitte stürzen können.\n\nMit den Geschenken, die  [From.GetTitledName] geschickt hat, konnte [From.GetSheHe] auch den Rest des [From.Religion.GetName]en Reiches davon überzeugen Konstantinopel als Ziel des nächsten Kreuzzugs anzugreifen.;;Con un discurso apasionado, [From.GetTitledName] explica cómo debemos reunir a nuestros hombres para apoyar a [fourth_crusade_byzantine_refugee.GetTitledName] para el trono de [e_roman_empire.GetName]. Sus emperadores nos han despreciado durante mucho tiempo, fingiendo ser descendientes de los romanos. Es hora de mostrarles que también podemos echar al falso emperador que tienen.\n\nCon los regalos que [From.GetTitledName] ha enviado, ha conseguido conseguir al resto del mundo [From.Religion.GetName] para hacer de Constantinopla el objetivo de la próxima cruzada.;;;;;x
EVTDESCLoR20_HF;People of [Root.PrimaryTitle.GetName], lend me your ears! After the miraculous recovery of territory lost centuries ago, our mighty nation has been reborn! Our land has endured dark times since the imperial frontiers were stormed by barbarians and province after province burned at their touch, but now a bright new age has dawned for all of civilization.\n\nOur great Nation will no longer be referred to as the "Greek Empire" by jealous pretenders, but recognized as the true heir to the legacy of its illustrious ancestors. [Root.GetTitledFirstName] rules a restored Imperium, but much work remains to be done. There is still territory to recover and ancient borders to reclaim. For the Senate and People of [Root.Capital.GetName]!;Peuple [Root.PrimaryTitle.Get_du_Realm] écoutez-moi ! Après la reprise miraculeuse du territoire perdu il y a des siècles, notre puissant pays renaît ! Notre pays a connu des périodes sombres depuis que les barbares ont pris d'assaut les frontières impériales et qu'ils ont brûlé province après province, mais maintenant une nouvelle ère se présente pour toute la civilisation.\n\nNotre grand pays ne sera plus appelé Empire byzantin par des prétendants jaloux, mais reconnu comme le véritable héritier de ses illustres prédécesseurs. [Root.Get_Le_TitledFirstName] a un imperium restauré, mais il reste encore des terres à récupérer. Pour le Sénat et les habitants de [Root.Capital.GetName] !;Menschen von [Root.PrimaryTitle.GetName], leiht mir eure Ohren! Nach der wundersamen Wiedergewinnung des verloren Territoriums vor Jahrhunderten, wurde unsere mächtige Nation wiedergeboren! Unser Land hat dunkle Zeiten durchgemacht, seit die imperialen Grenzen von Barbaren gestürmt wurden und Provinz für Provinz niedergebrannt wurde, aber jetzt steht ein strahlendes neues Zeitalter vor uns und der gesamten Zivilisation!;;¡Pueblo de [Root.PrimaryTitle.GetName], escuchadme! ¡Nuestra poderosa nación ha renacido tras la milagrosa recuperación de territorio perdido hace siglos! Nuestra tierra ha soportado tiempos oscuros desde que las fronteras imperiales fueron asaltadas por bárbaros y una provincia tras otra ardieron a su paso, pero ahora ha amanecido una nueva era para toda la civilización.\n\nNuestra gran nación no será conocida como Imperio bizantino por pretendientes envidiosos, sino reconocida como legítima heredera al legado de sus antepasados ilustres. [Root.GetTitledFirstName] gobierna un imperio restaurado, pero aún queda mucho trabajo por hacer. Sigue habiendo territorio que reconquistar y antiguas fronteras que reclamar. ¡Por el Senado y el Pueblo de [Root.Capital.GetName]!;;;;;;;;;x
EVTDESC_HF_49007;The Crusaders are leaving the [From.Religion.GetName] realm, their eyes towards Constantinople and the Byzantine Empire. At the same time, the Pope has made an enraged speech about the vices of men and how the good faithful have been led astray. [ThePope.GetSheHeCap] threatens every single Crusader with excommunication from the church, but the Crusaders continues onwards towards the ancient capital at the Bosporus.\n\nWhat was once the bastion of the [From.Religion.GetGroupName] faith is now desperately protecting itself, and [e_roman_empire.Holder.GetTitledName] is looking for any help [e_roman_empire.Holder.GetSheHe] can get.;Les croisés quittent le pays [From.GetReligionMasc], les yeux rivés sur Constantinople et Empire byzantin. Le Pape a pourtant prononcé un discours enragé sur les vices des hommes et l'égarement de bons fidèles, et menacé les croisés d'excommunication, mais ceux-ci continuent de se diriger vers l'ancienne capitale du Bosphore.\n\nCe qui était autrefois le bastion de la foi [From.GetReligiousGroupFem] doit maintenant désespérément se protéger et [e_roman_empire.Holder.Get_le_TitledName] cherche toute aide qu'[e_roman_empire.Holder.GetIlElle] pourrait obtenir.;Der Kreuzritter verlassen das [From.Religion.GetName]e Reich und richten ihre Augen in Richtung Konstantinopel und Byzantinisches Reich. Zur gleichen Zeit hat der Papst eine aufbrausende Rede über die Laster der Menschen gehalten und wie gute Gläubige in die Irre geführt wurden. [ThePope.GetSheHeCap] droht jedem einzelnen Kreuzritter mit der Exkommunikation aus der Kirche, doch die Kreuzritter marschieren weiter Richtung der alten Hauptstadt des Bosporus.\n\nWas einst die Bastion des [From.Religion.GetGroupName]en Glauben war, schützt sich nun verzweifelt selbst und [e_roman_empire.Holder.GetTitledName] sucht jede Hilfe, die [e_roman_empire.Holder.GetSheHe] finden kann.;;Los cruzados salen del mundo [From.Religion.GetName] con la vista puesta en Constantinopla y Imperio bizantino. Al mismo tiempo, el papa hecho un discurso enfurecido sobre los vicios de los hombres y cómo los buenos fieles se han descarriado. Amenaza con excomulgar de la Iglesia a todos los cruzados, pero la cruzada sigue adelante hacia la antigua capital en el Bósforo.\n\nLo que en el pasado fue el bastión del credo [From.Religion.GetGroupName] ahora se defiende a sí misma desesperadamente y [e_roman_empire.Holder.GetTitledName] busca cualquier ayuda posible.;;;;;;;;;x
DLC_INTERESTING_CHAR_basileus_alexios_DESC;"Alexios I Komnenos was the Roman emperor during the First Crusade. He faced constant warfare against both the Seljuq Turks and the Normans. Alexios appealed to Western Europe for help against the Turks and was able to curb the Roman decline, known as the Komnenian restoration."\n;Alexios I Komnenos était l'empereur byzantin pendant la première croisade. Il a fait face à la guerre constante contre les Turcs seldjoukides et les Normands. Alexis a appelé l'Europe occidentale pour aider contre les Turcs et a été en mesure de freiner le déclin byzantin, connu sous le nom de restauration comnène \n;"Alexios I. Komnenos war während des ersten Kreuzzuges byzantinischer Kaiser. Er war einem ständigen Kampf gegen die Seldschuken und Nomannen ausgesetzt. Alexios appellierte daraufhin an Westeuropa, um Hilfe gegen die Türken zu erhalten und war daruch in der Lage, den byzantinischen Niedergang, bekannt als Kommenische Restauration, einzudämmen."\n;;Alejo I Comneno era el emperador de Bizancio durante la Primera cruzada. Se enfrentó a guerras constantes tanto contra turcos selyúcidas como los normandos. Alejo apeló a Europa occidental contra los turcos y fue capaz de refrenar el declive bizantino con la llamada restauración Comnena.\n;;;;;;;;;x;;;
DLC_INTERESTING_CHAR_basileus_basileios_DESC;"Basil I was a Roman Emperor who was born a simple peasant in the military-civilian province of Macedonia. He was seen as one of their greatest emperors by his people and ruled over the most glorious and prosperous era of the medieval Roman Empire."\n;Basile, empereur byzantin né dans la province civilo-militaire de Macédoine, Basile était considéré comme l'un des plus grands empereurs par son peuple et régnait sur l'ère la plus glorieuse et la plus prospère de l'Empire byzantin. \n;"Basileios I. war ein byzantinischer Kaiser, der als einfacher Bauer in der militärisch-zivilen Provinz Makedonien geboren wurde. Er wurde von seinen Leuten als einer ihrer größten Kaiser angesehen und herrschte während der ruhmreichsten und wohlhabendsten Ära des Byzantinischen Reiches."\n;;Basilio I fue un emperador bizantino que nació como un simple campesino en la provincia civil y militar de Macedonia. Su pueblo le consideró uno de sus mayores emperadores y gobernó durante la era más gloriosa y próspera del Imperio bizantino.\n;;;;;;;;;x;;;
